timw (s),Mesh1,Mesh2,Mesh3,Mesh4,Analytical
1,300,300,300,300,300
2,300,300,300,300,300
3,300,300,300,300,300
4,300,300,300,300,300
5,300,300,300,300,300
6,300,300,300,300,300
7,300,300,300,300,300
8,300,300,300,300,300
9,300,300,300,300,300
10,300,300,300,300,300
11,300.0000001,300,300,300,300
12,300.0000003,300.0000001,300,300,300
13,300.0000006,300.0000001,300.0000001,300,300
14,300.0000011,300.0000003,300.0000002,300.0000001,300
15,300.0000021,300.0000007,300.0000005,300.0000002,300.0000001
16,300.0000036,300.0000013,300.0000011,300.0000003,300.0000002
17,300.0000061,300.0000023,300.000002,300.0000007,300.0000004
18,300.0000099,300.0000039,300.0000036,300.0000013,300.000001
19,300.0000155,300.0000065,300.0000061,300.0000025,300.0000019
20,300.0000235,300.0000104,300.0000101,300.0000043,300.0000035
21,300.0000346,300.000016,300.0000159,300.0000071,300.0000062
22,300.0000496,300.000024,300.0000244,300.0000113,300.0000104
23,300.0000696,300.0000349,300.0000361,300.0000175,300.0000166
24,300.0000956,300.0000496,300.0000522,300.0000262,300.0000258
25,300.0001288,300.000069,300.0000736,300.0000381,300.0000386
26,300.0001707,300.000094,300.0001015,300.0000542,300.0000561
27,300.0002226,300.0001259,300.0001374,300.0000754,300.0000795
28,300.0002862,300.0001659,300.0001826,300.0001027,300.00011
29,300.0003631,300.0002153,300.0002387,300.0001374,300.0001492
30,300.0004551,300.0002756,300.0003074,300.0001807,300.0001984
31,300.000564,300.0003482,300.0003906,300.0002342,300.0002596
32,300.0006918,300.0004348,300.00049,300.0002991,300.0003343
33,300.0008405,300.0005372,300.0006077,300.0003773,300.0004244
34,300.0010119,300.0006569,300.0007456,300.0004702,300.000532
35,300.0012082,300.0007959,300.0009059,300.0005796,300.0006589
36,300.0014315,300.0009559,300.0010905,300.0007073,300.0008072
37,300.0016838,300.0011389,300.0013016,300.0008551,300.000979
38,300.0019672,300.0013466,300.0015413,300.0010247,300.0011764
39,300.0022837,300.0015809,300.0018118,300.0012182,300.0014015
40,300.0026353,300.0018439,300.0021151,300.0014372,300.0016563
41,300.0030242,300.0021372,300.0024533,300.0016838,300.0019431
42,300.0034522,300.0024629,300.0028285,300.0019596,300.0022638
43,300.0039214,300.0028227,300.0032427,300.0022667,300.0026204
44,300.0044335,300.0032184,300.0036978,300.0026068,300.003015
45,300.0049905,300.0036518,300.0041958,300.0029816,300.0034495
46,300.0055941,300.0041247,300.0047384,300.003393,300.0039258
47,300.006246,300.0046387,300.0053276,300.0038426,300.0044458
48,300.0069478,300.0051955,300.0059651,300.0043322,300.0050113
49,300.0077013,300.0057967,300.0066525,300.0048633,300.0056238
50,300.0085078,300.0064437,300.0073914,300.0054375,300.0062852
51,300.0093689,300.0071381,300.0081834,300.0060564,300.006997
52,300.010286,300.0078813,300.0090299,300.0067213,300.0077607
53,300.0112602,300.0086747,300.0099322,300.0074338,300.0085777
54,300.012293,300.0095195,300.0108918,300.008195,300.0094494
55,300.0133853,300.0104169,300.0119099,300.0090064,300.0103771
56,300.0145385,300.0113682,300.0129875,300.0098691,300.0113621
57,300.0157534,300.0123745,300.0141259,300.0107843,300.0124054
58,300.017031,300.0134367,300.0153259,300.0117531,300.0135081
59,300.0183723,300.0145559,300.0165887,300.0127765,300.0146714
60,300.019778,300.015733,300.0179149,300.0138555,300.015896
61,300.0212489,300.0169689,300.0193056,300.014991,300.0171829
62,300.0227857,300.0182643,300.0207614,300.0161839,300.0185329
63,300.0243891,300.01962,300.022283,300.017435,300.0199468
64,300.0260596,300.0210368,300.023871,300.0187449,300.0214251
65,300.0277978,300.0225151,300.0255259,300.0201145,300.0229685
66,300.029604,300.0240557,300.0272484,300.0215443,300.0245776
67,300.0314787,300.025659,300.0290388,300.0230349,300.0262529
68,300.0334223,300.0273255,300.0308976,300.0245868,300.0279949
69,300.0354351,300.0290557,300.032825,300.0262006,300.0298038
70,300.0375173,300.0308499,300.0348213,300.0278766,300.0316801
71,300.0396691,300.0327084,300.0368869,300.0296152,300.0336241
72,300.0418907,300.0346316,300.0390219,300.0314168,300.035636
73,300.0441822,300.0366197,300.0412264,300.0332816,300.0377159
74,300.0465437,300.0386729,300.0435006,300.03521,300.0398642
75,300.0489753,300.0407913,300.0458445,300.0372021,300.0420807
76,300.0514769,300.0429752,300.0482581,300.0392581,300.0443658
77,300.0540485,300.0452245,300.0507415,300.0413782,300.0467193
78,300.0566901,300.0475394,300.0532946,300.0435624,300.0491413
79,300.0594015,300.0499198,300.0559173,300.0458108,300.0516318
80,300.0621826,300.0523658,300.0586096,300.0481235,300.0541906
81,300.0650333,300.0548773,300.0613712,300.0505004,300.0568178
82,300.0679534,300.0574543,300.0642021,300.0529416,300.0595131
83,300.0709426,300.0600966,300.067102,300.0554469,300.0622764
84,300.0740008,300.0628042,300.0700707,300.0580164,300.0651076
85,300.0771276,300.0655769,300.0731079,300.0606498,300.0680064
86,300.0803229,300.0684145,300.0762135,300.0633472,300.0709726
87,300.0835862,300.0713169,300.079387,300.0661082,300.0740059
88,300.0869174,300.0742838,300.0826283,300.0689328,300.0771062
89,300.0903159,300.077315,300.085937,300.0718207,300.080273
90,300.0937816,300.0804102,300.0893127,300.0747717,300.0835061
91,300.0973139,300.0835692,300.0927551,300.0777857,300.0868051
92,300.1009126,300.0867918,300.0962638,300.0808622,300.0901698
93,300.1045772,300.0900775,300.0998384,300.0840012,300.0935997
94,300.1083074,300.0934261,300.1034785,300.0872023,300.0970945
95,300.1121026,300.0968372,300.1071837,300.0904651,300.1006538
96,300.1159624,300.1003106,300.1109536,300.0937895,300.1042771
